rule_id,rule_name,rule_type,threat_actor,malware_family,technique_id,technique_name,rule_description,rule_logic,confidence,severity,source,created_date,last_updated
APT41-001,APT41 ShadowPad Domain Detection,Network,APT41,ShadowPad,T1071.001,Web Protocols,Detect communication with known APT41 ShadowPad domains,"http_request_host contains ""amazonlivenews.com"" OR http_request_host contains ""googleaccount.org"" OR http_request_host contains ""topmicrosoft.com"" OR http_request_host contains ""kasperskyupdate.com"" OR http_request_host contains ""microsoftdesktop.com"" OR http_request_host contains ""youtubedownloading.com"" OR http_request_host contains ""paloaltonetworkhelp.com""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-002,APT41 TOUGHPROGRESS Infrastructure Detection,Network,APT41,TOUGHPROGRESS,T1071.004,Domain Fronting,Detect communication with TOUGHPROGRESS infrastructure,"http_request_host contains ""trycloudflare.com"" OR http_request_host contains ""msapp.workers.dev"" OR http_request_host contains ""infinityfreeapp.com"" OR http_request_host contains ""my5353.com""",High,High,juroots,7/21/2025,8/10/2025
APT41-003,APT41 Russian Infrastructure Detection,Network,APT41,ShadowPad,T1584.001,Domains,Detect communication with Russian APT41 infrastructure,"(http_request_host contains "".ru"") AND (http_request_host contains ""kacer"" OR http_request_host contains ""kdes"" OR http_request_host contains ""kqvca"" OR http_request_host contains ""kvca"" OR http_request_host contains ""leadd"" OR http_request_host contains ""lrsm"" OR http_request_host contains ""rttkola"" OR http_request_host contains ""scdx"" OR http_request_host contains ""teon"")",High,High,Threat Intelligence,7/21/2025,8/10/2025
APT41-004,APT41 E-commerce Impersonation Detection,Network,APT41,ShadowPad,T1566.002,Spearphishing Link,Detect access to APT41 e-commerce impersonation domains,"(http_request_host contains "".shop"") AND (http_request_host contains ""llbean"" OR http_request_host contains ""ariat"")",High,Medium,Threat Intelligence,7/21/2025,8/10/2025
APT41-005,APT41 URL Shortener Detection,Network,APT41,TOUGHPROGRESS,T1105,Ingress Tool Transfer,Detect communication with APT41 URL shortener services,"http_request_host contains ""tinyurl.com"" OR http_request_host contains ""lihi.cc"" OR http_request_host contains ""reurl.cc"" OR http_request_host contains ""my5353.com""",Medium,Medium,juroots,7/21/2025,8/10/2025
APT41-006,APT41 GitHub Impersonation Detection,Network,APT41,ShadowPad,T1566.002,Spearphishing Link,Detect communication with GitHub impersonation domains,"http_request_host contains ""githubassets.net""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-007,APT41 Ngrok Tunnel Detection,Network,APT41,ShadowPad,T1071.001,Web Protocols,Detect communication with APT41 Ngrok tunnels,"http_request_host contains ""ngrok-free.app""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-008,APT41 SharePoint Web Shell Detection,File System,APT41,ShadowPad,T1071.001,Web Protocols,Detect APT41 SharePoint web shell files,"TargetFilename endswith ""CommandHandler.aspx"" OR TargetFilename endswith ""spinstall0.aspx"" OR TargetFilename endswith ""debug_dev.js""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-009,APT41 C# Trojan Detection,File System,APT41,ShadowPad,T1574.002,DLL Side-Loading,Detect APT41 C# trojan files,"TargetFilename endswith ""agents.exe"" OR TargetFilename endswith ""agentx.exe""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-010,APT41 TOUGHPROGRESS Hash Detection,File System,APT41,TOUGHPROGRESS,T1105,Ingress Tool Transfer,Detect APT41 TOUGHPROGRESS malware by hash,"file_hash_md5 equals ""79b949d4d1157becc6f3bde0860fc5e5"" OR file_hash_md5 equals ""adfbcbf70e91cdc7e647def8ecd5d786"" OR file_hash_md5 equals ""65da1a9026cf171a5a7779bc5ee45fb1"" OR file_hash_md5 equals ""d54187089a44e825d6a0e8e3793d5516"" OR file_hash_md5 equals ""43725d046e1e6db97a3e00fc465f532f"" OR file_hash_md5 equals ""4a06c0e6bc28b1b7e6b29a76664c413b""",High,High,TheRavenFile,7/21/2025,8/10/2025
APT41-011,APT41 GDrive Moonwalk Hash Detection,File System,APT41,GDrive Moonwalk,T1105,Ingress Tool Transfer,Detect APT41 GDrive Moonwalk malware by hash,"file_hash_md5 equals ""5b1e8455291d99a1724327b9a7fc2616"" OR file_hash_md5 equals ""b69984cbf52b418673bd08279ca845d6"" OR file_hash_md5 equals ""bfd6286bb39a0e24a2af28c63bd8e194"" OR file_hash_md5 equals ""75bfb7d5199bf0c4e62525099b33e14f"" OR file_hash_md5 equals ""f68ef9e40462c9760bf9c829edd9f4a9""",High,High,Gi7w0rm,7/21/2025,8/10/2025
APT41-012,APT41 DodgeBox Dropper Hash Detection,File System,APT41,DodgeBox Dropper,T1105,Ingress Tool Transfer,Detect APT41 DodgeBox Dropper malware by hash,"file_hash_md5 equals ""393065ef9754e3f39b24b2d1051eab61"" OR file_hash_md5 equals ""b3067f382d70705d4c8f6977a7d7bee4"" OR file_hash_md5 equals ""0d068b6d0523f069d1ada59c12891c4a"" OR file_hash_md5 equals ""d72f202c1d684c9a19f075290a60920f"" OR file_hash_md5 equals ""bcac2cbda36019776d7861f12d9b59c4"" OR file_hash_md5 equals ""294cc02db5a122e3a1bc4f07997956da""",High,High,Gi7w0rm,7/21/2025,8/10/2025
APT41-013,APT41 StealthVector Hash Detection,File System,APT41,StealthVector,T1105,Ingress Tool Transfer,Detect APT41 StealthVector malware by hash,"file_hash_md5 equals ""f062183da590aba5e911d2392bc29181"" OR file_hash_md5 equals ""4141c4b827ff67c180096ff5f2cc1474"" OR file_hash_md5 equals ""bc85062de0f70afd44bb072b0b71a8cc"" OR file_hash_md5 equals ""72070b165d1f11bd4d009a81bf28a3e5"" OR file_hash_md5 equals ""f0953ed4a679b987a2da955788737602""",High,High,Gi7w0rm,7/21/2025,8/10/2025
APT41-014,APT41 ShadowPad Hash Detection,File System,APT41,ShadowPad,T1105,Ingress Tool Transfer,Detect APT41 ShadowPad malware by hash,"file_hash_sha256 matches ""92bb4ddb98eeaf11fc15bb32e71d0a63256a0ed826a03ba293ce3a8bf057a514"" OR file_hash_md5 matches ""ac125aea0b703de37980779599438b4a"" OR file_hash_md5 matches ""17d0ada8f5610ff29f2e8eaf0e3bb578""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-015,APT41 WMI Execution Detection,Process,APT41,ShadowPad,T1047,Windows Management Instrumentation,Detect APT41 WMI execution patterns,"process_name equals ""wmic.exe"" AND command_line contains ""process call create"" AND (command_line contains ""Atexec"" OR command_line contains ""WmiExec"")",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-016,APT41 DLL Side-Loading Detection,Process,APT41,ShadowPad,T1574.002,DLL Side-Loading,Detect APT41 DLL side-loading activities,"process_name matches ""rundll32.exe"" AND command_line contains ""agents.exe"" OR process_name matches ""rundll32.exe"" AND command_line contains ""agentx.exe""",High,High,Kaspersky,7/21/2025,8/10/2025
APT41-017,APT41 HTA Execution Detection,Process,APT41,TOUGHPROGRESS,T1059.007,JavaScript,Detect APT41 HTA execution via mshta,"process_name matches ""mshta.exe"" AND command_line contains ""http"" AND (command_line contains ""tinyurl.com"" OR command_line contains ""lihi.cc"" OR command_line contains ""reurl.cc"" OR command_line contains ""my5353.com"")",High,High,juroots,7/21/2025,8/10/2025
APT41-018,APT41 Language Pack Enumeration Detection,Process,APT41,ShadowPad,T1047,Windows Management Instrumentation,Detect APT41 language pack enumeration,"process_name matches ""wmic.exe"" AND command_line contains ""os get locale"" OR process_name matches ""reg.exe"" AND command_line contains ""query"" AND command_line contains ""Control\\International""",Medium,Medium,Kaspersky,7/21/2025,8/10/2025
APT41-019,APT41 SMB File Transfer Detection,Network,APT41,ShadowPad,T1105,Ingress Tool Transfer,Detect APT41 SMB file transfers,"protocol matches ""SMB"" AND (file_name matches ""agents.exe"" OR file_name matches ""agentx.exe"" OR file_name matches ""CommandHandler.aspx"" OR file_name matches ""spinstall0.aspx"")",High,High,Kaspersky,7/21/2025,8/10/2025
